what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331937953693
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331937954729
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1331937968234
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331937970635
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331938004545
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331938006342
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331939128129
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331939133043
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331939134339
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331939134573
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1331939134941
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1331939134942
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1331939134943
stopped,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1331939134955
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1331939134967
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.9,"org.tigris.subversion.subclipse.graph",1331939134968
stopped,bundle,org.eclipse.wst.common.snippets,1.2.2.v201101130441,"org.eclipse.wst.common.snippets",1331939134968
stopped,bundle,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef",1331939135005
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1332009470044
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1332009470045
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1332009470046
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1332009470046
